순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
35,의료법인 세광의료재단 성모안과병원,병원,부산광역시 해운대구 해운대로 409 (우동),051-743-0775
36,어썸치과의원,치과의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 902호 (우동)",051-741-2875
37,센텀더탑의원,의원,"부산광역시 해운대구 해운대로76번길 65, 2층 일부호 (재송동)",051-781-5888
38,센텀시티의원,의원,"부산광역시 해운대구 센텀중앙로 145, 상가7동 103-2호 (재송동, 더샵센텀파크1차아파트)",051-926-1100
39,두드림정형외과의원,의원,"부산광역시 해운대구 세실로 43, 경동코아 2층 (좌동)",051-702-8788
40,살루스한의원,한의원,"부산광역시 해운대구 센텀동로 25, 상가B동 236호 (우동, 대우월드마크센텀아파트)",051-741-2203
41,태흥당한의원,한의원,"부산광역시 해운대구 세실로 75, 일진빌딩 4층 402호 (좌동)",051-701-1075
42,청담플러스의원,의원,"부산광역시 해운대구 중동2로 16, 해운대온천센터 2층 일부호 (중동)",051-747-5647
43,마린한의원,한의원,"부산광역시 해운대구 마린시티2로 2, 마린파크 714~5호 (우동)",051-747-5421
44,그레이스피부과의원,의원,"부산광역시 해운대구 좌동순환로 6, L TOWER 10층 (중동)",051-710-1891
45,해운대센트럴내과의원,의원,"부산광역시 해운대구 해운대로 650, 201동 301호 (우동)",051-714-0075
46,부산썬의원,의원,"부산광역시 해운대구 좌동순환로 395, 201호 (중동)",051-741-9660
47,센텀릴리의원,의원,"부산광역시 해운대구 센텀2로 15, 센텀브라이빌딩 4층 403호 (우동)",051-753-5113
48,센텀속시원내과의원,의원,"부산광역시 해운대구 해운대로 415, 701호 (우동)",051-731-7272
49,다미인한의원,한의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 403호 (좌동)",051-711-4257
50,리안성모안과의원,의원,"부산광역시 해운대구 해운대로 650, 201동 401호 (우동)",051-715-7766
51,더핌의원,의원,"부산광역시 해운대구 해운대로 794, 엘리움 1401~1402호 (좌동)",051-743-0099
52,수마취통증의학과의원,의원,"부산광역시 해운대구 재반로 220, 오븐에꾸운닭 2층 (반여동)",051-524-8900
53,삼성리한여성의원,의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 B동 203호 (좌동)",051-929-0100
54,오케이하트내과의원,의원,"부산광역시 해운대구 재반로 116, 4층 (재송동)",051-782-3393
55,리젠재활의학과의원,의원,"부산광역시 해운대구 해운대로 413, 3~4층 (우동)",051-715-1661
56,스카이의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 11층 1103호 (우동)",
57,조은항외과의원,의원,"부산광역시 해운대구 좌동순환로 6, L TOWER 11층 (중동)",051-968-1000
58,웰의원,의원,"부산광역시 해운대구 센텀동로 25, 214호 (우동, 대우월드마크센텀아파트)",051-954-1000
59,데르마피부과의원,의원,"부산광역시 해운대구 해운대로 415, 8층 (우동)",051-711-9668
60,네이처치과의원,치과의원,"부산광역시 해운대구 해운대로 415, 2층 201호 (우동)",051-715-2824
61,삼성브레인신경과의원,의원,"부산광역시 해운대구 해운대로 415, 601호 (우동)",051-747-2195
62,광덕안정한의원,한의원,"부산광역시 해운대구 세실로 48, 213, 216호 (좌동, 해운대삼정코아주상복합)",051-715-4723
63,서울한의원,한의원,"부산광역시 해운대구 재반로 83, 4층 1호 (재송동)",051-781-3888
64,순메디컬의원,의원,"부산광역시 해운대구 재반로 253-1, 문훈치과 2층 (반여동)",051-784-2243
65,희망한의원,한의원,"부산광역시 해운대구 세실로 87, 영진파스타 401호 (좌동)",051-791-0031
66,센텀부부치과의원,치과의원,"부산광역시 해운대구 선수촌로 80, 3,4층 (반여동)",051-710-2898
67,위아더성형외과의원,의원,"부산광역시 해운대구 해운대로 415, 9층 (우동)",051-715-8884
68,닥터앰버치과의원,치과의원,"부산광역시 해운대구 달맞이길117번가길 153, 3층 (중동)",051-951-0075
69,박흥철치과의원,치과의원,"부산광역시 해운대구 해운대로 814, 세종월드프라자 308호 (좌동)",051-711-7528
70,아름다운의원,의원,"부산광역시 해운대구 선수촌로 103-4, 7층 (반여동)",051-525-7582
71,365자연안에한의원,한의원,"부산광역시 해운대구 해운대로 814, 세종월드프라자 601-3, 601-4호 (좌동)",051-704-1500
72,오아스한의원,한의원,"부산광역시 해운대구 해운대해변로 353, 3층 306호 (중동)",051-747-1688
73,센텀튼튼정형외과의원,의원,"부산광역시 해운대구 재반로 176, 301호 303호호 (재송동)",051-781-8575
74,풀의우주한의원,한의원,"부산광역시 해운대구 좌동순환로8번길 54-13, 1,2층 (중동)",051-710-5475
75,닥터준치과의원,치과의원,"부산광역시 해운대구 마린시티2로 33, 104동 528호 (우동, 해운대두산위브더제니스)",051-623-7676
76,유앤밸런스의원,의원,"부산광역시 해운대구 좌동로 88, 울트라타워 10층 (좌동)",051-710-2176
77,라라피부과의원,의원,"부산광역시 해운대구 APEC로 17, 센텀리더스마크 405~412호 (우동)",051-715-7057
78,청담헤아린의원,의원,"부산광역시 해운대구 센텀동로 9, 217-218호 (우동, 트럼프월드센텀아파트)",051-747-3111
79,해운대탄탄정형외과의원,의원,"부산광역시 해운대구 좌동순환로 176, 장산빌딩 5층 (좌동)",051-704-1010
80,정우영소아청소년과의원,의원,"부산광역시 해운대구 센텀동로 25, A동 224호 (우동, 대우월드마크센텀아파트)",051-746-3332
81,마디호한의원,한의원,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 302호 (반여동)",051-714-7169
82,부산건우정형외과의원,의원,"부산광역시 해운대구 좌동순환로 6, L TOWER 8-9층 (중동)",051-710-0001
83,정우영정신건강의학과의원,의원,"부산광역시 해운대구 중동1로 25-1, 3층 (중동)",051-741-9974
84,푸른숲안과의원,의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 2층 204호 (좌동)",051-702-7070
85,수한의원,한의원,"부산광역시 해운대구 좌동순환로 174, 거성빌딩 403호 (좌동)",051-853-8275
86,청춘내과마취통증의학과의원,의원,"부산광역시 해운대구 신반송로 194, 2층 8호 (반송동, 광하아파트)",051-714-7125
87,백정형외과의원,의원,"부산광역시 해운대구 양운로 92, 나하나빌딩 8층 (좌동)",051-928-0100
88,해운대온담치과의원,치과의원,"부산광역시 해운대구 좌동순환로 176, 장산빌딩 4층 (좌동)",051-701-0111
89,서울메트로의원,의원,"부산광역시 해운대구 재반로 344, 서울메트로병원 (반여동)",051-540-9999
90,송정플란트치과의원,치과의원,"부산광역시 해운대구 송정중앙로 13, 2층 (송정동)",051-717-3373
91,그대고운피부과의원,의원,"부산광역시 해운대구 세실로 64, 306~309호 (좌동, 화목데파트)",051-914-2400
92,힐스의원,의원,"부산광역시 해운대구 좌동순환로433번길 30-1, 해운대힐스테이트위브 313호 (중동)",051-988-1188
93,서울편한내과의원,의원,"부산광역시 해운대구 마린시티2로 33, 104동 621~626호 (우동, 해운대두산위브더제니스)",051-742-8887
94,좌동소아청소년과의원,의원,"부산광역시 해운대구 세실로 43, 경동코아 506호 (좌동)",051-804-1761
95,유진한의원,한의원,"부산광역시 해운대구 중동1로 33-1, 2층 (중동)",051-747-7234
96,사랑가득한내과의원,의원,"부산광역시 해운대구 재반로 237, 6층 (반여동)",051-711-5711
97,시원한제통외과의원,의원,"부산광역시 해운대구 아랫반송로26번길 33, 2층 (반송동)",051-542-3238
98,센텀희여성의원,의원,"부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 1층 108호 (재송동)",051-710-2021
99,해찬한의원,한의원,"부산광역시 해운대구 좌동로 88, 울트라타워 203호 (좌동)",051-702-6210
100,호호미한의원,한의원,"부산광역시 해운대구 선수촌로 89-1, 3층 (반여동)",051-715-5505
101,류마이지내과의원,의원,"부산광역시 해운대구 반여로41번길 54, 꿈의메디컬 3, 4층 (반여동)",051-710-8200
102,화인의원,의원,"부산광역시 해운대구 선수촌로 57-30, 2층 (반여동)",051-710-8500
103,루미에의원,의원,"부산광역시 해운대구 달맞이길 30, 2005호 (중동, 엘시티)",051-746-1007
104,센텀아나파마취통증의학과의원,의원,"부산광역시 해운대구 재반로 82, 장안빌딩 4층 일부호 (재송동)",0507-1437-7963
105,치아발전소치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 5층 501,502호 (좌동)",051-711-0428
106,재생플란트치과의원,치과의원,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 203호 (우동)",051-747-2804
107,강내과의원,의원,"부산광역시 해운대구 대천로103번길 61, 상가동 309-1호 (좌동, 엘지아파트)",051-704-9505
108,미즈포유여성의원,의원,"부산광역시 해운대구 양운로 82, 해운대화인크리닉센타 601호 (좌동)",051-636-7975
109,씨앤유의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 1501호 (우동)",051-744-8889
110,건강드림가정의학과의원,의원,"부산광역시 해운대구 선수촌로 66, 2층 일부호 (반여동)",051-528-0075
111,메디컬오한의원부산센텀점,한의원,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 602, 602-1호 (우동)",051-791-1077
112,신우원내과의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 A801호 (우동)",051-920-7777
113,손성락정신건강의학과의원,의원,"부산광역시 해운대구 선수촌로 109-1, 반여아시아드몰 202호 (반여동)",051-531-8875
114,서울백치과의원,치과의원,"부산광역시 해운대구 윗반송로 68, 1층 (반송동)",051-900-1900
115,웨이브치과의원,치과의원,"부산광역시 해운대구 재반로 80-1, 3층 (재송동)",051-783-2860
116,와이디정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 407, 신세계프라자 303 일부호 (우동)",051-747-8005
117,더바른한의원,한의원,"부산광역시 해운대구 해운대로 794, 엘리움 304,305,403호 (좌동)",051-758-9188
118,반여센텀소아청소년과의원,의원,"부산광역시 해운대구 선수촌로 65-25, 우진빌딩 1,4,5층 (반여동)",051-532-0555
119,라온셀의원,의원,"부산광역시 해운대구 중동1로 11, 우1동우체국 8층 (우동)",051-806-7666
120,봄치과의원,치과의원,"부산광역시 해운대구 해운대로 814, 세종월드프라자 216호 (좌동)",051-704-2279
121,센텀숲정신건강의학과의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워 A901일부호 (우동)",051-711-2113
122,동백제니스의원,의원,"부산광역시 해운대구 해운대로 540, 105~109,118호 (우동, 해운대 동백 두산위브더제니스)",051-747-3490
123,더큰아이소아청소년과의원,의원,"부산광역시 해운대구 해운대로 794, 엘리움 201~203호 (좌동)",051-711-7878
124,홍진욱비뇨의학과의원,의원,"부산광역시 해운대구 해운대로 794, 엘리움 301호, 302일부호 (좌동)",051-742-7575
125,365엠씨람스에스씨의원,의원,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1403호 (우동)",1577-3653
126,장산힐의원,의원,"부산광역시 해운대구 좌동로 88, 울트라타워 1201호, 1301~1302호 (좌동)",051-704-7779
127,일라스의원,의원,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1401호 (우동)",051-710-0821
128,삼성공감정신건강의학과의원,의원,"부산광역시 해운대구 센텀동로 9, 221호 (우동, 트럼프월드센텀아파트)",051-746-3302
129,장산닥터남비뇨의학과의원,의원,"부산광역시 해운대구 세실로 64, 310~312호 (좌동, 화목데파트)",051-702-5825
130,해운대365치과의원,치과의원,"부산광역시 해운대구 좌동순환로 247, 유안빌딩 3층 (좌동)",051-703-0703
131,위강한의원,한의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 3층 301호 (중동)",051-731-7582
132,제이엠가정의학과의원,의원,"부산광역시 해운대구 센텀남대로 50, 2층 202 일부호 (우동)",051-791-0972
133,더힘찬한의원,한의원,"부산광역시 해운대구 좌동로 98, 디베르비타 301호 (좌동)",051-703-1075
134,서울연합의원,의원,"부산광역시 해운대구 신반송로 184, 3층 (반송동)",051-542-6636
135,365동백한의원,한의원,"부산광역시 해운대구 해운대로 663, 에이동 209호 (우동, 해운대비스타동원)",051-711-7588
136,한음한방신경정신과한의원,한의원,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 303호 (우동)",051-731-5001
137,준의원,의원,"부산광역시 해운대구 마린시티2로 33, 104동 202,203호 (우동, 해운대두산위브더제니스)",051-931-0103
138,소피스의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 1106~1108호 (중동)",051-715-1107
139,해운대로치과의원,치과의원,"부산광역시 해운대구 해운대해변로 335, CFC빌딩 2,3층 (중동)",051-741-8080
140,해아림한의원부산센텀점,한의원,"부산광역시 해운대구 센텀2로 24, 센텀다이아몬드 202호 (우동)",051-731-1075
141,성명준내과의원,의원,"부산광역시 해운대구 세실로 77, 성부빌딩 3층 (좌동)",051-701-7575
142,비스타안과의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 1101호 일부호, 1102~1104호 (중동)",051-710-7100
143,시그널성형외과의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워빌딩 301호 (우동)",051-715-9007
144,로뎀소아청소년과의원,의원,"부산광역시 해운대구 해운대로 365, 8층 (우동)",051-937-2020
145,이승휘정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 219,220호 (우동)",051-741-7542
146,박종권신경과의원,의원,"부산광역시 해운대구 재반로12번길 27, 1층 (재송동)",051-783-3770
147,에스아산이비인후과의원,의원,"부산광역시 해운대구 해운대로 814, 세종월드프라자 B동 419호,420호일부호 (좌동)",051-701-8575
148,제이케이로마치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 A동 317호 (좌동)",051-703-2323
149,화이트이치과의원,치과의원,"부산광역시 해운대구 좌동로 93, 해운대농협 3층 (좌동)",051-710-2882
150,다담한의원,한의원,"부산광역시 해운대구 재반로 200-1, 2층 (반여동)",051-783-1075
151,이든이비인후과의원,의원,"부산광역시 해운대구 해운대로 600, 2층 (우동)",051-791-1700
152,늘편한한의원,한의원,"부산광역시 해운대구 선수촌로 104-10, 선수촌빌딩 2층 (반여동)",051-521-1075
153,사랑모아치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 2층 210호 (좌동)",051-702-2080
154,바다여성산부인과의원,의원,"부산광역시 해운대구 좌동순환로 506, 영풍리젠시 503호 (중동)",051-711-3355
155,해운대내과의원,의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 A동 418,419,420호 (좌동)",051-704-5050
156,유케이성형외과의원,의원,"부산광역시 해운대구 해운대로 365, 6층 (우동)",051-710-8250
157,아이케이의원,의원,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 9층 902호 (우동)",051-710-7300
158,장정형외과의원,의원,"부산광역시 해운대구 재반로 237, 3,4층 (반여동)",051-784-1119
159,민중의의원,의원,"부산광역시 해운대구 우동1로 50, 2층 (우동)",051-746-7472
160,임미란정신건강의학과의원,의원,"부산광역시 해운대구 선수촌로 98, 경신빌딩 5층 (반여동)",051-949-1119
161,해월씨에스의원,의원,"부산광역시 해운대구 달맞이길 227, 2,3,4층 (중동)",051-710-7090
162,센텀마취통증의학과의원,의원,"부산광역시 해운대구 선수촌로 104-10, 선수촌빌딩 A동 4층 (반여동)",051-715-8996
163,센텀삼성재활의학과의원,의원,"부산광역시 해운대구 해운대로 365, 501호 (우동)",051-591-1112
164,해운대코끼리정형외과의원,의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 413호 (좌동)",051-702-7579
165,시원의원,의원,"부산광역시 해운대구 좌동로 95, 해운대동대문상가 3층 301~302호 (좌동)",051-704-7575
166,임용빈신경과의원,의원,"부산광역시 해운대구 양운로 82, 해운대화인크리닉센타 5층 503호 (좌동)",051-701-9700
167,서앤장센텀내과의원,의원,"부산광역시 해운대구 해운대로 365, 301,401호 (우동)",051-715-1570
168,센텀화외과의원,의원,"부산광역시 해운대구 해운대로 365, 201,701호 (우동)",051-710-8253
169,반여가정의학과의원,의원,"부산광역시 해운대구 재반로 227, 수협 2층 (반여동)",051-784-5005
170,미앤미의원,의원,"부산광역시 해운대구 센텀2로 19, 센텀코아 702호 (우동)",051-743-1171
171,센텀시원정형외과의원,의원,"부산광역시 해운대구 재반로 86, 2층 (재송동)",051-781-2119
172,연세센텀치과교정과치과의원,치과의원,"부산광역시 해운대구 선수촌로 80, 2층 (반여동)",051-528-2885
173,해운대본치과의원,치과의원,"부산광역시 해운대구 대천로 104, 3층 (좌동)",051-704-2131
174,목화한의원,한의원,"부산광역시 해운대구 좌동순환로 301, 금강빌딩 3층 (좌동)",051-701-1525
175,센텀이룸여성의원,의원,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1003,1103호 (우동)",051-758-8275
176,센텀삼성비뇨의학과의원,의원,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 2층 (우동)",051-742-7588
177,센텀내과의원,의원,"부산광역시 해운대구 선수촌로 104-10, 선수촌빌딩 2,5층(일부),3층 (반여동)",051-710-0690
178,마리나메디컬의원,의원,"부산광역시 해운대구 해운대해변로 154, 5층 (우동)",051-743-1661
179,바로그의원,의원,"부산광역시 해운대구 해운대로 794, 엘리움 703호 (좌동)",051-715-8022
180,봄봄한의원,한의원,"부산광역시 해운대구 마린시티3로 23, 벽산이오렌지프라자 229호~230호 (우동)",051-731-1276
181,우리정형외과의원,의원,"부산광역시 해운대구 윗반송로 94, 지하1층~지상4층 (반송동)",051-542-0954
182,이노의원,의원,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 305호~309호 (우동)",051-968-2828
183,원내과의원,의원,"부산광역시 해운대구 재반로63번길 32, 1층일부,2~3층 (재송동, 창광빌라)",051-783-8288
184,몸과마음한의원,한의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 502호 (중동)",051-731-1370
185,국민45플란트치과의원,치과의원,"부산광역시 해운대구 센텀2로 10, 센텀메디컬센타 8층 (우동)",051-746-7503
186,온누리한의원,한의원,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 2층 일부호 (우동)",051-742-7555
187,신대암메디칼의원,의원,"부산광역시 해운대구 해운대로91번길 21-13, 1~2층 (재송동)",051-916-0111
188,시은한의원,한의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 2층 204호 (중동)",051-746-1079
189,유림한의원,한의원,"부산광역시 해운대구 아랫반송로26번길 33, 2층 (반송동)",051-543-8288
190,좋은이웃치과의원,치과의원,"부산광역시 해운대구 좌동순환로 76, 신도프라자 2층 (좌동)",051-746-6200
191,센텀푸른이비인후과의원,의원,"부산광역시 해운대구 해운대로76번길 16, 402호 (재송동)",051-781-8855
192,에스더의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 303호,304호 (중동)",051-743-7272
193,센텀어린이치과의원,치과의원,"부산광역시 해운대구 센텀중앙로 142, 상가1동 202호 (재송동, 더샵센텀파크2차아파트)",051-747-2855
194,더원이비인후과의원,의원,"부산광역시 해운대구 선수촌로 103-4, 5층 (반여동)",051-710-1333
195,서자영산부인과의원,의원,"부산광역시 해운대구 선수촌로 102-2, 부원메디칼센타 4층 402호 (반여동)",051-525-0033
196,제이영의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 9층 902~904호 (중동)",051-731-0075
197,기립마취통증의학과의원기립한의원,의원,"부산광역시 해운대구 세실로27번길 23, 샤인빌딩 3층 301호 (좌동)",051-711-1042
198,기립마취통증의학과의원기립한의원,한의원,"부산광역시 해운대구 세실로27번길 23, 샤인빌딩 3층 301호 (좌동)",051-711-1042
199,메디우먼여성의원,의원,"부산광역시 해운대구 해운대로 602, 해피투모로우마린 1층일부호,2층,5층 (우동)",051-731-4800
200,산사나무한의원,한의원,"부산광역시 해운대구 세실로 33, 301호 (좌동)",051-704-3475
201,노바치과의원,치과의원,"부산광역시 해운대구 좌동순환로 505, 9층 905~908호 (중동, 센트럴메디타워)",051-747-0100
202,엘치과의원,치과의원,"부산광역시 해운대구 좌동순환로 505, 10층 1001~1004호 (중동, 센트럴메디타워)",051-751-2882
203,서울미성형외과의원,의원,"부산광역시 해운대구 좌동순환로 505, 1005호~1007호 (중동)",051-746-9965
204,정태영정신건강의학과의원,의원,"부산광역시 해운대구 좌동순환로 505, 701호, 702-1호 (중동)",051-742-9898
205,시원재활의학과의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 405,702-2,703호 (중동)",051-715-1275
206,경희해운대한의원,한의원,"부산광역시 해운대구 좌동순환로 505, 3층 302호 (중동)",051-742-1077
207,호두내과의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 801, 802호 (중동)",051-747-8877
208,제니스라인치과교정과치과의원,치과의원,"부산광역시 해운대구 마린시티2로 33, 104동 921호 (우동, 해운대두산위브더제니스)",051-746-2858
209,해운대한겨레치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 310, 311호 (좌동, 웅신시네아트)",051-702-2132
210,마린시티신경과의원,의원,"부산광역시 해운대구 마린시티2로 2, 601~603호 (우동, 마린파크)",051-864-2744
211,아이맘소아청소년과의원,의원,"부산광역시 해운대구 센텀중앙로 145, 상가1동 403호 (재송동, 더샵센텀파크1차아파트)",051-744-3930
212,고려의원,의원,"부산광역시 해운대구 반송로924번길 13, 1층 (반송동)",070-4136-7575
213,우리바른치과의원,치과의원,"부산광역시 해운대구 센텀중앙로 78, 2층 201호 (우동, 센텀그린타워)",051-743-2805
214,임태형내과의원,의원,"부산광역시 해운대구 좌동순환로 441, 4층 (중동)",051-742-8002
215,나비솔한의원,한의원,"부산광역시 해운대구 해운대로 802, B동 404호 (좌동, 웅신시네아트, 일부)",051-627-5678
216,이정빈 정신건강의학과의원,의원,"부산광역시 해운대구 좌동순환로 173, 7층 (좌동, 영풍프라자, 일부)",051-702-1006
217,한마음치과의원,치과의원,"부산광역시 해운대구 선수촌로 103-4, 6층 (반여동)",051-524-7528
218,센텀서울정형외과의원,의원,"부산광역시 해운대구 선수촌로 103-4, 3, 4층 (반여동)",051-791-2500
219,백평한의원,한의원,"부산광역시 해운대구 윗반송로 64, 지하1층 (반송동)",051-545-1100
220,기린정형외과의원,의원,"부산광역시 해운대구 중동1로 39, 2층 일부, 3층 (중동)",051-741-6676
221,성모더오정신건강의학과의원,의원,"부산광역시 해운대구 세실로 75, 5층 (좌동, 일진빌딩)",051-703-7555
222,손정신건강의학과의원,의원,"부산광역시 해운대구 재반로 86, 3층 (재송동)",051-781-9500
223,제이린의원,의원,"부산광역시 해운대구 센텀동로 25, 219~220호 (우동, 대우월드마크센텀아파트)",051-742-9975
224,바로서한의원,한의원,"부산광역시 해운대구 해운대로76번길 16, 301호 (재송동)",051-781-7585
225,화인마취통증의학과의원,의원,"부산광역시 해운대구 센텀남대로 50, 센템임페리얼타워빌딩 A202호 일부호 (우동)",051-743-1119
226,이슬기안과의원,의원,"부산광역시 해운대구 해운대로 794, 602호 (좌동, 엘리움)",051-714-2800
227,토브성형외과의원,의원,"부산광역시 해운대구 마린시티2로 33, 104동 924호 (우동, 해운대두산위브더제니스)",051-744-1031
228,리쥬브의원,의원,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1003호 (우동)",051-808-0545
229,강영미산부인과의원,의원,"부산광역시 해운대구 해운대로 407, 302호 (우동, 신세계프라자)",051-741-7982
230,에이케이정형외과의원,의원,"부산광역시 해운대구 양운로 98, 504,505호 (좌동, 대하프라자)",051-702-7757
231,첫사랑니치과의원,치과의원,"부산광역시 해운대구 센텀1로 9, 롯데갤러리움센텀 S동 3층 312호 (우동)",051-758-2887
232,신제일의원,의원,"부산광역시 해운대구 신반송로 163, 상가8호동 201호 (반송동, 남흥아파트)",051-545-1672
